ko	gene	process	category	subcategory
K28276	vapB35S	TA system: Type II_VapC-VapB	Defense system	TA system
K16214	pezT	TA system: Type II_PezT-PezA	Defense system	TA system
K18830	pezA	TA system: Type II_PezT-PezA	Defense system	TA system
K21487	yobL	TA system: Type II_YobL-YobK	Defense system	TA system
K21488	yobK	TA system: Type II_YobL-YobK	Defense system	TA system
K21489	yokI	TA system: Type II_YokI-YokJ	Defense system	TA system
K21490	yokJ	TA system: Type II_YokI-YokJ	Defense system	TA system
K21491	yqcG	TA system: Type II_YqcG-YqcF	Defense system	TA system
K21492	yqcF	TA system: Type II_YqcG-YqcF	Defense system	TA system
K21493	yxiD	TA system: Type II_YxiD-YxxD	Defense system	TA system
K21494	yxxD	TA system: Type II_YxiD-YxxD	Defense system	TA system
K07062	fitB	TA system: Type II_FitB-FitA	Defense system	TA system
K21495	fitA	TA system: Type II_FitB-FitA	Defense system	TA system
K21496	BC_0920	TA system: Type II_BC_0920-BC_0921	Defense system	TA system
K21497	BC_0921	TA system: Type II_BC_0920-BC_0921	Defense system	TA system
K06388	spoIISA	TA system: Type II_SpoIISA-SpoIISB	Defense system	TA system
K06389	spoIISB	TA system: Type II_SpoIISA-SpoIISB	Defense system	TA system
K28299	tse6	TA system: Type II_Tse6-Tsi6	Defense system	TA system
K28300	tsi6	TA system: Type II_Tse6-Tsi6	Defense system	TA system
K19334	tabA	TA system: Type II_related factors	Defense system	TA system
K13650	mcbA	TA system: Type II_related factors	Defense system	TA system
K12148	bssS	TA system: Type II_related factors	Defense system	TA system
K19688	bssR	TA system: Type II_related factors	Defense system	TA system
K12151	bhsA	TA system: Type II_related factors	Defense system	TA system
K03531	ftsZ	TA system: Type II_related factors	Defense system	TA system
K03569	mreB	TA system: Type II_related factors	Defense system	TA system
K02621	parC	TA system: Type II_related factors	Defense system	TA system
K02622	parE	TA system: Type II_related factors	Defense system	TA system
K01885	EARS, gltX	TA system: Type II_related factors	Defense system	TA system
K07060	nob1	TA system: Type II_related factors	Defense system	TA system
K19167	abiQ	TA system: Type III_AbiQ	Defense system	TA system
K18837	cbtA	TA system: Type IV_YeeV-YeeU	Defense system	TA system
K18838	cbeA	TA system: Type IV_YeeV-YeeU	Defense system	TA system
K19168	cptA	TA system: Type IV_CptA-CptB	Defense system	TA system
K09159	cptB	TA system: Type IV_CptA-CptB	Defense system	TA system
K09144	abiEii	TA system: Type IV_AbiEii-AbiEi	Defense system	TA system
K28193	abiEi	TA system: Type IV_AbiEii-AbiEi	Defense system	TA system
K18839	ghoT	TA system: Type V_GhoT-GhoS	Defense system	TA system
K18840	ghoS	TA system: Type V_GhoT-GhoS	Defense system	TA system
K28190	socB	TA system: Type VI_SocB-SocA	Defense system	TA system
K28191	socA	TA system: Type VI_SocB-SocA	Defense system	TA system
K05839	hha	TA system: Type VII_Hha-TomB	Defense system	TA system
K19162	tomB	TA system: Type VII_Hha-TomB	Defense system	TA system
K28188	tglT	TA system: Type VII_TglT-TakA	Defense system	TA system
K28189	takA	TA system: Type VII_TglT-TakA	Defense system	TA system
K28186	hepT	TA system: Type VII_HepT-MntA	Defense system	TA system
K28187	mntA	TA system: Type VII_HepT-MntA	Defense system	TA system
K28181	sdsR, ryeB	TA system: Type VIII_SdsR-RyeA	Defense system	TA system
K28182	ryeA	TA system: Type VIII_SdsR-RyeA	Defense system	TA system
K04487	iscS, NFS1	DNA phosphothiolation system_Sulfur modification	Defense system	DNA P system
K19169	dndB	DNA phosphothiolation system_Sulfur modification	Defense system	DNA P system
K19170	dndC	DNA phosphothiolation system_Sulfur modification	Defense system	DNA P system
K19171	dndD	DNA phosphothiolation system_Sulfur modification	Defense system	DNA P system
K19172	dndE	DNA phosphothiolation system_Sulfur modification	Defense system	DNA P system
K19173	dptF	DNA phosphothiolation system_Restriction proteins	Defense system	DNA P system
K19174	dptG	DNA phosphothiolation system_Restriction proteins	Defense system	DNA P system
K19175	dptH	DNA phosphothiolation system_Restriction proteins	Defense system	DNA P system
